id,title,original_title,imdb_id,release_date,runtime,budget,revenue,overview,tagline,homepage,poster_path,backdrop_path
13,Cop Land,Cop Land,tt0118887,1997-08-15,104,15000000,44862187,"Freddy Heflin is the sheriff of a place everyone calls “Cop Land” — a small and seemingly peaceful town populated by the big city police officers he’s long admired. Yet something ugly is taking place behind the town’s peaceful facade. And when Freddy uncovers a massive, deadly conspiracy among these local residents, he is forced to take action and make a dangerous choice between protecting his idols and upholding the law.",No One Is Above The Law.,http://www.miramax.com/movie/cop-land,/qzR7m6kUhsbdid3xRK2jTXjyNmG.jpg,/cnD5ygO97xFY8wQPwLP5v9saus7.jpg
14,The Accursed,The Accursed,tt14617254,2022-10-14,96,0,0,"Elly is asked by a family friend to spend a few days looking after an elderly woman living in a remote cabin. She readily agrees thinking a short trip to the woods will be a nice escape. The cabin turns out to be anything but relaxing as Elly begins hallucinating in ways that blur reality with her dreams. As the visions take over, Elly realizes that she was lured there by a demonic presence hiding inside of the woman just waiting to break free.",Are you ready to gaze into hell?,https://theaccursed.com/,/27IgOiz7Vp19ei13pnRdOir7SD8.jpg,/dAcWx9pcEVxDwC90VPxgzXJC7AO.jpg
15,WCW Spring Stampede 1998,WCW Spring Stampede 1998,tt2540096,1998-04-19,160,0,0,"""Macho Man"" Randy Savage faces Sting in a No Disqualification Match for the WCW World Heavyweight Championship. Hollywood Hogan & Kevin Nash take on ""Rowdy"" Roddy Piper & The Giant in a Baseball Bat on a Pole Match. Raven takes on ""Diamond"" Dallas Page in a Raven's Rules Match with the WCW United States Championship up for grabs and much more!",The Biggest. The Baddest. No Bull.,http://en.wikipedia.org/wiki/Spring_Stampede#1998,/wMbRygId8zKLH98NsO3j7ceQ2UE.jpg,/i3fi65uhg5oD87dQCu2WDqZE5Jl.jpg
16,The Search for Santa Paws,The Search for Santa Paws,tt1544572,2010-10-12,89,0,0,"In the tradition of disney's classic holiday tales comes a heartwarming movie about the power of giving and the true meaning of christmas. Discover how the legendary friendship of Santa Claus and Santa Paws began in the inspiring original film, The Search For Santa Paws. When Santa and his new best friend, Paws, discover that the boys and girls of the world have lost the spirit of the season, they take a trip to New York City. But after Santa loses his memory, it's up to Paws, a faithful orphan named Quinn, her new friend Will, and a wonderful group of magical talking dogs to save St. Nick and show the world what Christmas is really all about.",The Search is On!,http://disneydvd.disney.go.com/the-search-for-santa-paws.html,/rW6rXvT6AeNC4AUBC2HJiiLpwly.jpg,/A7JLOMnim2y26Vt06vwvz7HmORM.jpg
17,I'm Your Woman,I'm Your Woman,tt10243992,2020-10-15,120,0,0,"A woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",No one survives alone.,https://www.amazon.com/dp/B08KZD3FZ4,/uTcJAxIV8BzNXuvcViBSibQSBid.jpg,/5XKMS1dJFfnEOrl1koJyb31p5js.jpg
18,Selma,Selma,tt1020072,2014-12-25,127,20000000,66787908,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Voting Rights Act.",One dream can change the world.,https://www.paramount.com/movies/selma,/wq4lhMc4BuOyQqe1ZGzhxLyy3Uk.jpg,/kVGUdR1CXKAyCFj5Tt4uyR2bpFx.jpg
19,Hex Hollow: Witchcraft and Murder in Pennsylvania,Hex Hollow: Witchcraft and Murder in Pennsylvania,tt3145016,2015-11-28,73,31000,0,A documentary film investigating the 1928 murder of a Pennsylvania farmer and the allegations of witchcraft that shocked the nation.,Witchcraft and Murder in Pennsylvania,http://www.hexhollowmovie.com/,/ccTGbHg50khtraavvFMjtnb9MSY.jpg,/ucXjARewvyveUYYhn8sCKKNxQdd.jpg
20,3 Wicked Witches,3 Wicked Witches,tt3174226,2014-01-01,75,1000000,0,"When three best friends from college reunite for their 25th year reunion, revenge becomes the order of day. A possessed clown doll is sent on a mission of murder to the local frat house…",They'll put a spell on you!,http://www.rapidheart.com/3-wicked-witches/,/cGlrgc3rPxM1RU2KRRiiPVALkSn.jpg,/cYsUnWOrK76U2pR37tywrygQPEF.jpg
21,Retribution,Retribution,tt6906292,2023-08-23,91,20000000,12905464,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",All roads lead to the truth.,https://iiil.io/jCT7,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg
22,Convention City,Convention City,tt0023906,1933-12-14,69,239000,522000,Extra-marital fun and games at a convention of the Honeywell Rubber Company in Atlantic City.,"We're off to - ""Convention City""",http://www.missamerica1933.com/contestants/conventioncity.html,/zxvqT6nyO749PAvBkScdJg2G1m5.jpg,/ms2LoLkDZbIHhJO15LxLFlZmtr.jpg
23,Rough Night,Rough Night,tt4799050,2017-06-15,101,20000000,45056771,"Five best friends from college reunite 10 years later for a wild bachelorette weekend in Miami. Their hard partying takes a hilariously dark turn when they accidentally kill a male stripper. Amidst the craziness of trying to cover it up, they're ultimately brought closer together when it matters most.",The hangover will be the least of their problems,http://www.roughnightmovie.com/,/ttC00xcQ5UIO04kU8y0h5OAIYYJ.jpg,/sqlQt6Orr2hEOb7fekhjCefhiED.jpg
