id,title,vote_average,vote_count,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
46,Great White Shark,6.222,9,2013-05-24,0,40,FALSE,/a6dGItq9ad5inXDW18ULZY6KSrF.jpg,0,http://www.greatwhiteshark3d.com,tt2989326,Great White Shark,"Misrepresented, maligned and on the verge of extinction, the great white shark is an iconic predator: the creature we love to fear. Great White Shark will explore the great white's place in our imaginations, in our fears and in the reality of its role at the top of the oceanic food chain. The film will concentrate on key aggregation points around the world: Mexico, South Africa, Los Angeles and New Zealand. Key figures in the history of shark research, people whose lives have been changed by contact with the great white, will tell us of their experiences, culminating in a direct encounter between man and shark.",1.34,/eiKKbx5pjA2s4jkkCXBRSAJEaMv.jpg,A breathtaking encounter with the predator we love to fear . . .,Documentary,"Giant Screen Films, Liquid Pictures, Yes/No Productions",United States of America,English
47,No Exit,6.953,985,2022-02-25,0,96,FALSE,/33wnBK5NxvuKQv0Cxo3wMv0eR7F.jpg,0,https://www.20thcenturystudios.com/movies/no-exit,tt7550014,No Exit,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",32.043,/5cnLoWq9o5tuLe1Zq4BTX4LwZ2B.jpg,Who will survive the dead of winter?,"Thriller, Mystery","20th Century Studios, Flitcraft",United States of America,English
48,Grateful Dead: View from the Vault,5.2,3,2000-10-10,0,215,FALSE,/4ChjYIllKL4Qldr4A7VU3PiBat.jpg,0,http://dead.net,tt0468574,Grateful Dead: View from the Vault,"View from the Vault, Volume One, sometimes known simply as View from the Vault, is the first release in a series of DVDs and companion soundtracks by the Grateful Dead known as ""View from the Vault"". The audio is taken from the soundboard and the video from the video screens at the concerts. The first volume was recorded and filmed at Three Rivers Stadium in Pittsburgh on July 8, 1990 with bonus material recorded two days earlier at Cardinal Stadium, Louisville. The set was certified Gold by the RIAA on February 2, 2001.",0.824,/oAsbEWZ0oYblzbCYqbUtkwawo3I.jpg,"Three Rivers Stadium Pittsburgh, PA July 8, 1990",Music,"Grateful Dead Productions, Monterey Home Video",United States of America,English
49,Nina Forever,5.2,138,2015-03-14,0,98,FALSE,/rVT4vFJgcvou2j3CQTOAlCqedSh.jpg,0,http://ninaforever.com/,tt2885628,Nina Forever,"Holly loves Rob and tries to help him through his grief – even if it means contending with his dead girlfriend Nina, who comes back, bloody and broken, every time they make love",6.176,/l6fIaMjMx4bCHLvgCcnNfWctfm2.jpg,A fu*ked up fairy tale,"Horror, Comedy, Romance","Charlie Productions, Casualties Bureau, Jeva Films",United Kingdom,English
50,I'm Not Ashamed,7.219,233,2016-10-21,2100000,113,FALSE,/rsdFvneLY76JGXQ1rYovyeUtqyc.jpg,1500000,http://imnotashamedfilm.com/,tt4950110,I'm Not Ashamed,"Based on the inspiring and powerful true story and journal entries of Rachel Joy Scott, the first student killed in the Columbine High School shooting in 1999.",26.572,/P4bxuNq5XT0Wc3MYpoLP52e0P6.jpg,Her faith would touch the world.,Drama,"Visible Pictures, All Entertainment",United States of America,English
51,Sherlock Holmes,7.202,13170,2009-12-23,524028679,129,FALSE,/veXdzn7LL0bFIDGmE7tTkvRg0qV.jpg,90000000,https://www.warnerbros.com/movies/sherlock-holmes/,tt0988045,Sherlock Holmes,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,35.808,/momkKuWburNTqKBF6ez7rvhYVhE.jpg,Nothing escapes him.,"Action, Adventure, Crime, Mystery","Warner Bros. Pictures, Village Roadshow Pictures, Silver Pictures, Wigram Productions, Internationale Filmproduktion Blackbird Dritte","Australia, Germany, United Kingdom, United States of America","English, French"
52,One for the Money,5.55,912,2012-01-26,36893721,91,FALSE,/5AOV7ga7jvkIhmJalE4rmEf833X.jpg,40000000,http://www.oneforthemoneyfilm.com/index2.html,tt1598828,One for the Money,"An unemployed lingerie buyer convinces her bail bondsman cousin to give her a shot as a bounty hunter. Her first assignment is to track down a former cop on the run for murder – the same man who broke her heart years before. With the help of some friends and the best bounty hunter in the business, she slowly learns what it takes to be a true bounty hunter.",12.826,/eeltLl5jLUl9d96tpKkCAWu4JWu.jpg,She's looking for a few not-so-good men,"Action, Comedy, Crime","Lakeshore Entertainment, Sidney Kimmel Entertainment",United States of America,English
53,Trigger: The Ripple Effect of Gun Violence,0,0,2013-05-03,0,55,FALSE,/x57eDjByABP4ccLaTGeZYeiEpAi.jpg,0,https://pda.pcusa.org/pda/resource/dvd-trigger/,tt5136068,Trigger: The Ripple Effect of Gun Violence,"Documentary that frames gun violence as a Disaster and Public Health issue by taking an in depth look at how one shooting impacts individuals, families and communities, while also giving voice to the questions and insights that arise from these conversations. In the documentary, all those scarred by gun violence eventually arrived at the same question: ""Why...Why did this happen to us?"" After looking at these in depth experiences of gun violence ""Trigger turns its attention to the bigger question: ""What can we do to prevent gun violence?""",0.6,/2c2MuK6nxI81A87eSMpCRojTR5X.jpg,"n the United States more than 30,000 people are killed every year by gun violence and more than 100,000 are wounded.",Documentary,"Presbyterian Disaster Assistance, Dotstudioz Inc.",United States of America,English
54,Basketball County: In the Water,7,1,2020-05-15,0,51,FALSE,/5G4mYJ6AtPvmVy3E3N43dcjCixi.jpg,0,https://www.sho.com/titles/3492196/basketball-county-in-the-water,tt7333982,Basketball County: In the Water,"This documentary film examines how NBA star Kevin Durant’s hometown of Prince George’s County, Maryland, has recently produced more elite basketball players than anywhere else in the world.",0.998,/gWm78LvURmB567ooZLIsy0L9WB8.jpg,Where greatness lives.,Documentary,"Shifted Industry, Thirty Five Media, May 3rd Films, Thirty Five Ventures",United States of America,English
55,Dan in Real Life,6.541,1092,2007-10-26,68474305,98,FALSE,/uAa5bEEQvLxAqbKcOk9rGPLkZrJ.jpg,25000000,http://daninreallife.movies.go.com/,tt0480242,Dan in Real Life,"Advice columnist, Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.",16.053,/wJkkkG4ditqNzlua0oJzoaICGiz.jpg,Something's happening to Dan. It's confusing. It's awkward. It's family.,"Comedy, Romance, Drama","Touchstone Pictures, Focus Features, Jon Shestack Productions",United States of America,English
56,What is a Woman?,6.855,155,2022-06-01,0,95,FALSE,/aJHH604xVvLPHH6fMbQV6iV5aOY.jpg,0,https://whatisawoman.com,tt20256528,What is a Woman?,"Political commentator Matt Walsh explores the changing concepts of sex and gender in the digital age, particularly the transgender rights movement, transphobia, and what it means to be a woman.",10.998,/iiP8Sq7yWoYsKx9EVfyRPno8Un9.jpg,One man's journey to answer the question of a generation,Documentary,"The Daily Wire, Digital Astronaut",United States of America,English
57,Piranha 3DD,4.347,941,2012-05-11,8493728,83,FALSE,/bVVUstdTawtCF2RkB9awLNxPLXk.jpg,5000000,http://piranha-3d.com/,tt1714203,Piranha 3DD,"After the events at Lake Victoria, the prehistoric school of blood-thirsty piranhas make their way into swimming pools, plumbing, and a newly opened water park.",24.105,/mv2Ej9WPVWivNvtMTTxgb07c7N9.jpg,Twice the Teeth. Twice the Terror.,"Horror, Thriller, Comedy","Dimension Films, Mark Canton Productions, Intellectual Properties Worldwide",United States of America,English
58,Bloodsucking Freaks,4.966,103,1976-11-03,0,85,FALSE,/1BNv6MqZw5wFoblckm4fydIbmoR.jpg,0,http://www.troma.com/films/bloodsucking-freaks/,tt0077247,Bloodsucking Freaks,"Sardu, master of the Theatre of the Macabre, and his assistant Ralphus run a show in which, under the guise of 'magic', they torture and murder people in front of their audience. But what the punters see as a trick is actually real.",8.757,/sRFWfces1Aa2yPRzDt4NVuYrysQ.jpg,"Join The Fun! Human Dart Boards! ""Home Style Brain Surgery"" Dental Hijinks!","Horror, Comedy","Troma Entertainment, Alan C. Margolin - Joel M. Reed Productions",United States of America,English
59,Concrete Pharaohs,0,0,2010-05-06,0,47,FALSE,/hq58EUpL6VhCTS6IPDyRAlFJ1oR.jpg,0,http://www.hbo.bg/movie/%D0%91%D0%B5%D1%82%D0%BE%D0%BD%D0%BD%D0%B8-%D1%84%D0%B0%D1%80%D0%B0%D0%BE%D0%BD%D0%B8_-69084,tt1806810,Бетонни фараони,"Welcome to the picturesque world of the Kaldarash Roma – a closed community of no more than 1 million people all over the world. 'Concrete Pharaohs' take us on a journey into the lifestyle and traditions of the most hidden and intriguing Roma communities. A charismatic Gypsy baron will walk us through his stories and his new house. We will learn the hot trends in Roma tombstone design. We will go down into the underground homes of African granite, furnished with beds, wardrobes, stereos and a charged cell phone – a direct line to the other world. A celebration of life and afterlife in all of their manifestations.",0.6,/uHSA2U5NbRPqGoU9Xi6Z5TnjZ5d.jpg,The Life and Afterlifestyle of Kaldarash Gypsies,Documentary,"HBO Bulgaria, Agitprop",Bulgaria,Bulgarian
60,Step Up All In,6.834,1844,2014-07-16,86165646,112,FALSE,/cFgHrvRjoRHOrtolzrJov7v4s54.jpg,45000000,http://stepupmovie.com/,tt2626350,Step Up All In,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",26.811,/bM9U2WDQKeQhdQX4kwdk72Drpaz.jpg,Every Step Has Led To This,"Romance, Drama, Music","Summit Entertainment, Offspring Entertainment",United States of America,English
61,While She Was Out,5.308,143,2008-10-27,498088,86,FALSE,/d8twGjhgFmsapoUpY4K6WoieobH.jpg,6000000,http://www.insightfilm.com/wswo.html,tt0887971,While She Was Out,A suburban housewife is forced to fend for herself when she becomes stranded in a desolate forest with four murderous thugs.,13.596,/ehhJzxVV566RxPKmotY4E6xU477.jpg,They Messed With the Wrong Woman on the Wrong Night,"Drama, Horror, Thriller","Insight Film Studios, Angry Films, Victoria Filmproduktion, Proud Mary Entertainment, Redwood Palms Pictures, Aloe Entertainment, Grosvenor Park Media","Canada, Germany, United States of America",English
62,The Mercy,5.925,255,2018-02-09,4536348,102,FALSE,/acKU4LlCFgcbjsL2IjtD4mPzlq7.jpg,18000000,http://www.themercyfilm.co.uk/home/,tt3319730,The Mercy,"In 1968, Donald Crowhurst, an amateur sailor, endangers the fate of his family and business, and his own life, blinded by his ambition to compete in the Sunday Times Golden Globe Race, attempting to become the first person in history to single-handedly circumnavigate the world without making any stopover.",8.819,/51qWwl16Mb0hqorgffCtyENwTPP.jpg,Based on the true story,"Drama, Adventure","BBC Film, Blueprint Pictures, StudioCanal",United Kingdom,"English, Spanish"
63,The Big Empty,6.144,59,2003-05-16,0,94,FALSE,/xlrEHww5wabNRMBOyxhLMNekPij.jpg,0,http://www.thebigempty.com/,tt0321442,The Big Empty,"Struggling actor John Person agrees to drive a blue suitcase from Los Angeles to the small town of Baker, Calif., and hand it over to a mysterious cowboy in return for having his credit card debt of $27,000 paid off. Upon his arrival, John can't find the cowboy but receives an ominously head-shaped package he's supposed to hang onto. While waiting, John gets close to Ruthie, whose psychotic boyfriend, Randy, keeps threatening to kill him.",5.534,/8lYFJ0LKdhayjfYnX0b1yIvkUx4.jpg,Cowboys. Aliens. Blue suitcases and bowling balls. Strange things are happening out in the middle of nowhere.,"Comedy, Drama, Mystery, Science Fiction","North by Northwest Entertainment, Aura Entertainment, Echo Lake Entertainment",United States of America,English
64,Sebastian,5.2,10,2017-05-26,0,80,FALSE,/u1vAvsUWM7ABtkqGAlccNaoPP5L.jpg,50000,http://www.sebastianthemovie.com,tt6087058,Sebastian,"Alex is an Argentinian student in Toronto for just one week. They both know that the relationship ends when he catches his flight back home. But they’re falling for each other and it’s the kind of relationship that changes them, unlocks things hidden deep inside.",0.94,/pyxFMkZJwXiykKHdkupjMBPJ9qd.jpg,Who can resist a boy with a dark and unspoken past?,"Drama, Romance","Interiority Entertainment, Bonpland Pictures",Canada,"Spanish, English"
65,Wilde,6.568,250,1997-09-01,10000000,118,FALSE,/8WquHvFVBq9jtfRUUOzMVJBzNW4.jpg,2158775,http://www.oscarwilde.com/,tt0120514,Wilde,"The story of Oscar Wilde, genius, poet, playwright and the First Modern Man. The self-realisation of his homosexuality caused Wilde enormous torment as he juggled marriage, fatherhood and responsibility with his obsessive love for Lord Alfred Douglas.",14.735,/41mm9zN1j6oE4vK7sDjxRqbEAgV.jpg,Loved for being unique. Hated for being different.,"Drama, History","Dove International, BBC, capitol international, Pandora Film","Germany, Japan, United Kingdom",English
66,The Museum Project,5.2,6,2016-05-01,0,45,FALSE,/yutjXtgsdB8ojVXgXxeZlVd5QNT.jpg,0,http://www.museumprojectmovie.com/,tt5251524,The Museum Project,"A group of students decide to base their media assignment on a local railway museum myth. However, when they trespass the premises after hours, they soon learn that some myths are more than stories.",0.616,/vzaznRV5LFyhEQKR0oHF8zyaqCm.jpg,Some myths are more than stories.,"Thriller, Horror, Mystery",Freeze Frame Films,Australia,English
67,Nailbiter,4.207,41,2013-05-28,0,82,FALSE,/1zfVloYLvEHiktKm9fd0Chuoalz.jpg,0,http://www.nailbitermovie.com/,tt2122424,Nailbiter,A horror film that combines classic monster movie elements set within the backdrop of unpredictable Kansas weather. Start with a mother and her three daughters forced to take shelter from an advancing tornado in a local storm cellar. What is waiting for them underneath is another story entirely.,3.936,/485U5q4dALhr9VhucJOYgTu8zOf.jpg,In the shadow of the storm it waits.,Horror,"SenoReality Pictures, Ministry Machine Productions",United States of America,English
68,X-Men Origins: Wolverine,6.254,9797,2009-04-28,373062864,107,FALSE,/wvqdJLVh0mSblly7UnYFPEk04Wd.jpg,150000000,https://www.20thcenturystudios.com/movies/x-men-origins-wolverine,tt0458525,X-Men Origins: Wolverine,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",4.317,/yj8LbTju1p7CUJg7US2unSBk33s.jpg,Witness the origin.,"Adventure, Action, Thriller, Science Fiction","The Donners' Company, Seed Productions, 20th Century Fox",United States of America,English
69,People Just Do Nothing: Big in Japan,6.7,34,2021-08-13,0,97,FALSE,/iTozFZZOklA4tZbrl3rDftvFXmv.jpg,0,https://www.universalpictures.co.uk/micro/people-just-do-nothing,tt11376010,People Just Do Nothing: Big in Japan,"Since the end of their pirate radio station, life has been quiet for the Kurupt FM boys, but everything is about to change. News reaches them that one of their songs has been used on a popular game show in Japan. They've made it. Their music is reaching hundreds of thousands of people. It's finally time for them to enjoy the fame and fortune that they've always known they deserved. Chabuddy G steps excitedly back into his management role as Grindah, Beats, Steves and Decoy begin their journey to international stardom - but is Japan really ready for Kurupt FM?",4.31,/d2wft3qQX1fCqPTUdujwxhj9S23.jpg,Britain's finest exports,Comedy,"Roughcut Films, BBC Film, Focus Features","Japan, United Kingdom, United States of America",English
70,6 Festivals,6.7,3,2022-08-11,0,98,FALSE,/qgSRdZoS6YtXVCesbploWeW18cf.jpg,0,https://helium.limited/helium-pictures/six-festivals.php,tt20102688,6 Festivals,"Over the course of the six music festivals, friends Maxie and Summer will learn to accept the impending loss of their friend James from brain cancer through Marley, an up-and-coming musician whose own rise to the main stage will provide a positive anchor for them to move forward with their lives.",1.339,/i1I43RmHqKWcMdS7xgKqjSusyiX.jpg,Face the music,"Drama, Music","Hype Republic, Invisible Republic, Superlative Pictures",Australia,English
71,Swallow,6.65,638,2020-01-15,274674,96,FALSE,/ieFVFCLd1akOdYNx0MttGmgwCTT.jpg,0,https://www.ifcfilms.com/films/swallow,tt8372298,Swallow,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",12.227,/40Zrwud1EVxNvcjQkotZo7jmr4L.jpg,Open Up.,"Drama, Thriller","Charades, Logical Pictures, Stand Alone Productions, Syncopated Films, The Population","United States of America, France",English
72,Crazy Rich Asians,7.074,3364,2018-08-15,238539198,121,FALSE,/7tTCnQcKzUkabDV3BJMe7LIzlEs.jpg,30000000,http://crazyrichasiansmovie.com,tt3104988,Crazy Rich Asians,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",21.434,/1XxL4LJ5WHdrcYcihEZUCgNCpAW.jpg,The only thing crazier than love is family,"Comedy, Drama, Romance","Color Force, Ivanhoe Pictures, Warner Bros. Pictures",United States of America,"Cantonese, Mandarin, English"
73,Tell It to the Bees,7.577,379,2018-09-09,0,106,FALSE,/Oeo4ZabmekrqCQyn34SI95692d.jpg,0,http://gooddeedentertainment.com/tellittothebees,tt7241926,Tell It to the Bees,"Dr. Jean Markham returns to the town she left as a teenager to take over her late father's medical practice. When a school-yard scuffle lands Charlie in her surgery, she invites him to visit the hives in her garden and tell his secrets to the bees, as she once did. The new friendship between the boy and the bee keeper brings his mother Lydia into Jean's world.",8.864,/Rj6zpHhMU1zFW3v28U4PSRSRgP.jpg,Some secrets are too powerful to keep,"Romance, Drama","Taking a Line for a Walk Productions, Riverstone Pictures, Archface Films, Cayenne Film Company, Reliance Entertainment Productions 8",United Kingdom,English
74,Unicorn Store,5.946,803,2017-09-11,0,92,FALSE,/1ltcMaCX5kPOEA4NFTSBnvBFNbY.jpg,0,https://www.netflix.com/title/81034317,tt2338454,Unicorn Store,"A woman named Kit moves back to her parent's house, where she receives a mysterious invitation that would fulfill her childhood dreams.",13.605,/rGe3eWy3F3qggDZMc86bASN4I7C.jpg,Everyone needs a little magic. Even if they're all grown up.,"Fantasy, Drama, Comedy","The District, Rhea Films, 51 Entertainment, Rip Cord Productions",United States of America,English
75,Creed III,7.194,1987,2023-03-01,275248615,116,FALSE,/8QsVX5C82mT7bB5sVsjsLcerWQK.jpg,75000000,https://www.mgmstudios.com/creed-iii,tt11145118,Creed III,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",164.985,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,You can't run from your past.,"Drama, Action","Metro-Goldwyn-Mayer, Proximity Media, Balboa Productions, Outlier Society Productions, Chartoff-Winkler Productions",United States of America,"English, Spanish"
76,Shana: The Wolf's Music,7.3,10,2014-08-17,0,96,FALSE,/puzVfjtTMH531PyNSaBbUr3BdPi.jpg,0,http://www.shanafilm.com/En/film/film.html,tt2390792,Shana: The Wolf's Music,"The First Nations girl Shana is a very gifted musician. But to bring her violin to sing, she must follow the wolf. Nino Jacusso has filmed this captivating coming-of-age drama with sensational beauty and spiritual tenderness.",1.4,/wlyKPrXFsZHmxRyjX0CLqrFYp0S.jpg,"A First Nations girl, a wolf and a violin – and the magic of music.","Adventure, Drama, Music",Really Real Films,"Canada, Switzerland","German, English, French, Italian"
77,Kindling,7.8,4,2023-04-21,0,93,FALSE,/53SCROCrvab3OHXYnRXTceM6tCK.jpg,0,https://lowkeyfilms.co.uk/film-and-tv/kindling,tt15184804,Kindling,A group of young men return to their home town in order to turn their friend's final days into a celebration of life and friendship.,3.169,/fg8N3bN1dIGr23rfwbus4hlJ6qe.jpg,A summer to be remembered.,"Drama, Romance","LOWKEY Films, Limelight Productions, Haymarket Films, Lipsync Productions, Hyprr Films",United Kingdom,English
78,Where the Road Runs Out,5.4,8,2014-09-26,0,91,FALSE,/ES1tavVbcM4ot8WruG8EpMmYRm.jpg,0,http://www.wheretheroadrunsout.com/,tt2346198,Where the Road Runs Out,"George, a scientist living in Rotterdam is growing wary of the world of academia. The sudden death of an old friend is the incentive he needs to return to his African roots where he takes over a dilapidated field station in the jungle of Equatorial Guinea. There he meets an orphan boy with a sunny disposition who opens George's wary eyes to this colorful place. The boy plays matchmaker between George and the lady who runs the local orphanage and all seems rosy until an old friend of George's shows up out of nowhere to throw their lives into disarray as George discovers there are many obstacles on the road to redemption and a few more where the road runs out.",1.094,/5BC9qDdd6gm0V5m5zYW34DGdSX4.jpg,Sometimes you have to get lost to find yourself.,"Romance, Drama, Family",Cotton Tree Productions,"Equatorial Guinea, Netherlands, South Africa",English
79,Harold & Kumar Escape from Guantanamo Bay,6.264,1334,2008-04-25,43493123,101,FALSE,/7Q1SGTuIDkTnKRonEhmYUefQP79.jpg,12000000,http://www.haroldandkumar.com,tt0481536,Harold & Kumar Escape from Guantanamo Bay,"Having satisfied their urge for White Castle, Harold and Kumar jump on a plane to catch up with Harold's love interest, who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security.",14.959,/pRo2wOKbJEfoLnTK1APcDtKfGzL.jpg,This time they're running from the joint.,"Comedy, Adventure","New Line Cinema, Kingsgate Films, Mandate Pictures, Mandate International",United States of America,English
80,Plus One,6.971,280,2019-06-14,44112,98,FALSE,/9TL90eOg7KfaJOqYSgimZ6yXnRJ.jpg,0,https://www.inwoodroadfilms.com/plus-one,tt7645122,Plus One,Two single friends agree to be each others' respective plus one for each wedding they're invited to during a particularly busy nuptial period of their lives.,8.951,/4w3bCp5UkLeemdq8MBNlyA3Zl2J.jpg,10 Weddings. 1 Summer. No One Can Survive Alone.,"Romance, Comedy, Drama","Studio71, RLJE Films, Red Hour",United States of America,English
81,Le Divorce,4.913,127,2003-08-08,12991996,117,FALSE,/w2UHBWTJux7bWSi44mMS21tPhGT.jpg,0,http://www.le-divorce.com/,tt0306734,Le Divorce,"While visiting her sister in Paris, a young woman finds romance and learns her brother-in-law is a philanderer.",14.155,/ucBJrWKCJ1naTylSFN8jpaEqwwe.jpg,Everything sounds sexier in French.,"Drama, Romance","Merchant Ivory Productions, Fox Searchlight Pictures","France, United States of America","French, English"
82,"Life, Animated",7.5,128,2016-07-01,0,91,FALSE,/3eWyOWBd6Z9BbxZJ8ObY22jm7mS.jpg,0,http://www.lifeanimateddoc.com/,tt3917210,"Life, Animated","At three years old, a chatty, energetic little boy named Owen Suskind ceased to speak, disappearing into autism with apparently no way out. Almost four years passed and the only stimuli that engaged Owen were Disney films. Then one day, his father donned a puppet—Iago, the wisecracking parrot from Aladdin—and asked “what’s it like to be you?” And poof! Owen replied, with dialogue from the movie. Life, Animated tells the remarkable story of how Owen found in Disney animation a pathway to language and a framework for making sense of the world.",4.623,/jpZUMTecRrgn1NybQfAsrO85wUN.jpg,"When he fell into silence, movies gave him back his voice",Documentary,"A&E IndieFilms, Motto Pictures, Roger Ross Williams Productions",United States of America,English
83,Death Proof,6.824,4703,2007-05-22,31126421,113,FALSE,/c7k9ZZb1MoFzJeyjphKRMLHOgqU.jpg,25000000,http://www.deathproof.net/,tt1028528,Death Proof,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",28.985,/vtu6H4NWnQVqEp3aanUq3hNeeot.jpg,A crash course in revenge,"Action, Thriller","Troublemaker Studios, The Weinstein Company, Dimension Films, Rodriguez International Pictures",United States of America,English
84,Green Flake,0,0,2020-12-03,0,94,FALSE,/22g9hiMYP4Ka6IPiJaChqzhkPdT.jpg,0,https://www.greenflakemovie.com/,tt9535160,Green Flake,"Green Flake, a southern slave, joins Church of Jesus Christ of Latter Day Saints as a child. Later on in his life he is sent to pave the way to what is now the Salt Lake Valley and his faith sustains him.",0.858,/3odIby95U8HqEnIHEdtKCxK1SPk.jpg,A film about a Southern slave who trekked thousands of miles and rose to become a Western hero,"Drama, History, Western","Mauli Studios, Mirmont Pictures",United States of America,English
85,The Mist,6.9,4634,2007-11-21,57470220,126,FALSE,/3WrR2rYX7nHWnBhWHLZptsJ2bEj.jpg,18000000,http://www.themist-movie.com/,tt0884328,The Mist,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",29.693,/1CvJ6diBACKPVGOpcWuY4XPQdqX.jpg,"Belief divides them, mystery surrounds them, but fear changes everything.","Horror, Science Fiction, Thriller","Darkwoods Productions, Dimension Films, The Weinstein Company, Metro-Goldwyn-Mayer",United States of America,English
86,A War Story,0,0,2018-10-01,0,90,FALSE,/sX8fITcwsARXKVJSAXQb3TaxqJ5.jpg,0,https://www.tvnz.co.nz/shows/a-war-story,tt8111958,A War Story,"In 1997, Osama bin Laden declared war on the USA and Pulitzer Prize winning CNN correspondent Peter Arnett embarked on a mission to locate and interview him. A War Story follows the dramatic events leading up to the interview and the Kiwi journalist's horror on 9/11, as he recalled bin Laden's veiled threats.",1.4,/2dSI07fGQ3ouhImx109XS99f1dz.jpg,Arnett v bin Laden,"Drama, Documentary",Making Movies,New Zealand,English
87,Alien Convergence,4.022,45,2017-06-27,0,86,FALSE,/2eZUHO2gEktRTaWQuxXF3NtLWjH.jpg,0,http://newsite.theasylum.cc/index.php/titles/detail?id=334c3eec-9cbb-e411-bd0b-d4ae527c3b65,tt6874406,Alien Convergence,"When flying reptilian creatures wreak havoc all over the world, the survivors’ only hope of stopping them is a new, state-of-the-art fighter jet piloted by the only team that knows how to use the technology.",6.242,/96xgOCz2li0IiqKYcLQh5bK7CiU.jpg,We have Visitors,"Horror, Science Fiction, Action",The Asylum,United States of America,English
88,The Sasquatch Gang,5.667,45,2006-03-08,9458,84,FALSE,/xTaj3tVozMfcCrrndYVPic91bWr.jpg,0,http://www.thesasquatchgang.com/,tt0460925,The Sasquatch Gang,"Young fantasy and science fiction aficionado Gavin Gore and his friends stumble onto some huge footprints in the woods. A local cop, reporter, and a renowned Sasquatch authority investigate, while two of Gavin's dim-witted neighbors hatch a scheme to profit from the situation.",5.55,/f7Vnrik2tsozzG1DRfgIBmJvUCx.jpg,An epic tale of nerds and turds.,"Comedy, Adventure, Drama","Trigger Street Productions, Jeremy Coon Productions",United States of America,English
89,Hustle,7.787,2197,2022-06-03,0,118,FALSE,/hGr0FrLI74vqpBWTBOPloDBwOAK.jpg,0,https://www.netflix.com/title/80242342/,tt8009428,Hustle,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",32.032,/xWic7kPq13oRxYjbGLApXCnc7pz.jpg,Are you obsessed with this game?,"Drama, Comedy","SpringHill Entertainment, Roth-Kirschenbaum Films, Happy Madison Productions",United States of America,"English, Spanish"
90,The Vancouver Asahi,7,4,2014-09-29,0,132,FALSE,/vdzFoZOGHREgeiVTcXmdnx39pQK.jpg,0,http://www.vancouver-asahi.jp/,tt3550344,バンクーバーの朝日,"In pre-WWII Vancouver, second-generation Japanese immigrants had it tough. Daily, they faced discrimination, hatred and injustice at the hands of their Caucasian counterparts. But one thing made their lives worth living: baseball. They may be the underdogs, but the Vancouver Asahi baseball team have a sense of fair play and smart tactics that set them apart from the brute force of their opponents. Under the guidance of new team captain Reggie Kasahara, can they be able to rise above all the negativity to win the tournament?  This film is based on the true story of Vancouver Asahi, the Japanese-Canadian baseball team that was inducted into The Canadian Baseball Hall of Fame in 2003.",3.224,/vWSxJGWVS8y2LxzuWwugef8mleK.jpg,Winning is not about where you’re from—it’s about how well you play.,Drama,"Fuji Television Network, Ehime Broadcasting, Nagano Broadcasting System","Canada, Japan","Japanese, English"
